place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags,images
29,Ampara Tank,Nature,Ampara,Ampara,3.3,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
30,Panama Beach,Beach,Ampara,Ampara,4.9,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
31,Pottuvil Lagoon,Nature,Ampara,Ampara,3.1,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
32,Deegawapi Temple,Religious,Ampara,Ampara,3.1,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
33,Lahugala National Park,Wildlife,Ampara,Ampara,3.4,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
34,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
35,Panama Beach,Beach,Ampara,Ampara,4,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
36,Ampara Tank,Nature,Ampara,Ampara,4.4,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
37,Pottuvil Lagoon,Nature,Ampara,Ampara,3.8,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
38,Ampara Tank,Nature,Ampara,Ampara,3.8,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
39,Ampara Tank,Nature,Ampara,Ampara,4.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
40,Deegawapi Temple,Religious,Ampara,Ampara,3.3,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
41,Arugam Bay,Beach,Ampara,Ampara,3.6,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
42,Deegawapi Temple,Religious,Ampara,Ampara,4.8,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
43,Pottuvil Lagoon,Nature,Ampara,Ampara,3.3,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
44,Lahugala National Park,Wildlife,Ampara,Ampara,3.8,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
45,Ampara Tank,Nature,Ampara,Ampara,4.5,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
46,Ampara Tank,Nature,Ampara,Ampara,4.4,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
47,Arugam Bay,Beach,Ampara,Ampara,3.6,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
48,Panama Beach,Beach,Ampara,Ampara,4.5,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
49,Pottuvil Lagoon,Nature,Ampara,Ampara,3.5,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
50,Kumana National Park,Wildlife,Ampara,Ampara,3.2,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
51,Panama Beach,Beach,Ampara,Ampara,3.2,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
52,Deegawapi Temple,Religious,Ampara,Ampara,4.2,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
53,Lahugala National Park,Wildlife,Ampara,Ampara,4.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
54,Ampara Tank,Nature,Ampara,Ampara,4.5,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
55,Arugam Bay,Beach,Ampara,Ampara,3,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
56,Kumana National Park,Wildlife,Ampara,Ampara,4.4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
57,Kumana National Park,Wildlife,Ampara,Ampara,4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
58,Lahugala National Park,Wildlife,Ampara,Ampara,4,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
59,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
60,Lahugala National Park,Wildlife,Ampara,Ampara,3.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
61,Kumana National Park,Wildlife,Ampara,Ampara,4.5,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
62,Pottuvil Lagoon,Nature,Ampara,Ampara,3.5,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
63,Arugam Bay,Beach,Ampara,Ampara,4.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
64,Arugam Bay,Beach,Ampara,Ampara,3.7,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
65,Panama Beach,Beach,Ampara,Ampara,3.5,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
66,Arugam Bay,Beach,Ampara,Ampara,3.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
67,Deegawapi Temple,Religious,Ampara,Ampara,4.3,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
68,Panama Beach,Beach,Ampara,Ampara,3.9,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
69,Lahugala National Park,Wildlife,Ampara,Ampara,3.1,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
70,Pottuvil Lagoon,Nature,Ampara,Ampara,4.1,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
71,Lahugala National Park,Wildlife,Ampara,Ampara,3.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
72,Pottuvil Lagoon,Nature,Ampara,Ampara,3.2,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
73,Deegawapi Temple,Religious,Ampara,Ampara,4.3,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
74,Arugam Bay,Beach,Ampara,Ampara,3.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
75,Deegawapi Temple,Religious,Ampara,Ampara,3,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
76,Pottuvil Lagoon,Nature,Ampara,Ampara,4.7,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
77,Kumana National Park,Wildlife,Ampara,Ampara,3.1,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
78,Lahugala National Park,Wildlife,Ampara,Ampara,3.8,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
79,Kumana National Park,Wildlife,Ampara,Ampara,3.4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
80,Pottuvil Lagoon,Nature,Ampara,Ampara,3.1,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
81,Pottuvil Lagoon,Nature,Ampara,Ampara,4.8,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
82,Ampara Tank,Nature,Ampara,Ampara,4.3,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
83,Kumana National Park,Wildlife,Ampara,Ampara,3.6,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
84,Panama Beach,Beach,Ampara,Ampara,4.8,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
85,Lahugala National Park,Wildlife,Ampara,Ampara,3.5,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
86,Arugam Bay,Beach,Ampara,Ampara,4.1,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
87,Arugam Bay,Beach,Ampara,Ampara,4,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
88,Arugam Bay,Beach,Ampara,Ampara,3.4,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
89,Pottuvil Lagoon,Nature,Ampara,Ampara,4,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
90,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
91,Arugam Bay,Beach,Ampara,Ampara,4.8,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
92,Pottuvil Lagoon,Nature,Ampara,Ampara,3.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
93,Pottuvil Lagoon,Nature,Ampara,Ampara,3.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
94,Arugam Bay,Beach,Ampara,Ampara,4.1,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
95,Arugam Bay,Beach,Ampara,Ampara,3.7,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
96,Lahugala National Park,Wildlife,Ampara,Ampara,4.1,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
97,Lahugala National Park,Wildlife,Ampara,Ampara,4.5,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
98,Kumana National Park,Wildlife,Ampara,Ampara,3.9,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
99,Deegawapi Temple,Religious,Ampara,Ampara,4.9,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
100,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
101,Ampara Tank,Nature,Ampara,Ampara,4.8,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
102,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
103,Kumana National Park,Wildlife,Ampara,Ampara,3,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
104,Panama Beach,Beach,Ampara,Ampara,3,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
105,Deegawapi Temple,Religious,Ampara,Ampara,3.7,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
106,Pottuvil Lagoon,Nature,Ampara,Ampara,4.4,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
107,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
108,Arugam Bay,Beach,Ampara,Ampara,4.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
109,Panama Beach,Beach,Ampara,Ampara,4.7,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
110,Ampara Tank,Nature,Ampara,Ampara,3.6,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
111,Kumana National Park,Wildlife,Ampara,Ampara,4.1,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
112,Kumana National Park,Wildlife,Ampara,Ampara,3.8,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
113,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
114,Kumana National Park,Wildlife,Ampara,Ampara,4.4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
115,Arugam Bay,Beach,Ampara,Ampara,3.1,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
116,Kumana National Park,Wildlife,Ampara,Ampara,4.8,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
117,Deegawapi Temple,Religious,Ampara,Ampara,3.8,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
118,Lahugala National Park,Wildlife,Ampara,Ampara,3.9,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
119,Ampara Tank,Nature,Ampara,Ampara,3.2,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
120,Arugam Bay,Beach,Ampara,Ampara,4,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
121,Ampara Tank,Nature,Ampara,Ampara,4.6,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
122,Arugam Bay,Beach,Ampara,Ampara,4.2,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
123,Arugam Bay,Beach,Ampara,Ampara,3.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
124,Kumana National Park,Wildlife,Ampara,Ampara,3.5,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
125,Lahugala National Park,Wildlife,Ampara,Ampara,4.7,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
126,Pottuvil Lagoon,Nature,Ampara,Ampara,3.8,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
127,Pottuvil Lagoon,Nature,Ampara,Ampara,4.5,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
128,Lahugala National Park,Wildlife,Ampara,Ampara,3.9,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
129,Kumana National Park,Wildlife,Ampara,Ampara,3.1,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
130,Kumana National Park,Wildlife,Ampara,Ampara,3.3,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
131,Pottuvil Lagoon,Nature,Ampara,Ampara,4.2,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
132,Kumana National Park,Wildlife,Ampara,Ampara,3.2,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
133,Panama Beach,Beach,Ampara,Ampara,3.9,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
134,Panama Beach,Beach,Ampara,Ampara,3.2,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
135,Lahugala National Park,Wildlife,Ampara,Ampara,4.9,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
136,Kumana National Park,Wildlife,Ampara,Ampara,3.9,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
137,Panama Beach,Beach,Ampara,Ampara,3.5,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
138,Arugam Bay,Beach,Ampara,Ampara,3.2,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
139,Pottuvil Lagoon,Nature,Ampara,Ampara,4.4,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
140,Pottuvil Lagoon,Nature,Ampara,Ampara,4.4,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
141,Deegawapi Temple,Religious,Ampara,Ampara,3.1,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
142,Pottuvil Lagoon,Nature,Ampara,Ampara,4.7,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
143,Kumana National Park,Wildlife,Ampara,Ampara,3.2,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
144,Kumana National Park,Wildlife,Ampara,Ampara,4.9,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
145,Panama Beach,Beach,Ampara,Ampara,4,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
146,Ampara Tank,Nature,Ampara,Ampara,3.6,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
147,Pottuvil Lagoon,Nature,Ampara,Ampara,5,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
148,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
149,Pottuvil Lagoon,Nature,Ampara,Ampara,3.9,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
150,Ampara Tank,Nature,Ampara,Ampara,4.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
151,Arugam Bay,Beach,Ampara,Ampara,3.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
152,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
153,Arugam Bay,Beach,Ampara,Ampara,3,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
154,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
155,Kumana National Park,Wildlife,Ampara,Ampara,3.3,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
156,Pottuvil Lagoon,Nature,Ampara,Ampara,3.8,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
157,Ampara Tank,Nature,Ampara,Ampara,4.3,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
158,Ampara Tank,Nature,Ampara,Ampara,3.2,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
159,Deegawapi Temple,Religious,Ampara,Ampara,3.5,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
160,Pottuvil Lagoon,Nature,Ampara,Ampara,3.1,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
161,Arugam Bay,Beach,Ampara,Ampara,3.4,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
162,Ampara Tank,Nature,Ampara,Ampara,3.9,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
163,Kumana National Park,Wildlife,Ampara,Ampara,3.2,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
